ChargeThreshold_fC,Probability,CrossSection_cm2,CrossSection_Uncertainty_cm2
0.4962028798003354,2.0032390078995377e-07,3.2051824126392617e-18,2.2277554444974383e-19
0.5101265729088613,1.9451766496058554e-07,3.11228263936937e-18,2.1952349285932946e-19
0.5244409715889841,1.896787789883092e-07,3.0348604638129484e-18,2.167757728547926e-19
0.5391570392282541,1.8483958498109132e-07,2.9574333596974622e-18,2.139923565515621e-19
0.5542860468521851,1.7903313401620834e-07,2.8645301442593347e-18,2.1060444004218334e-19
0.5698395817567254,1.7225752188824117e-07,2.7561203502118597e-18,2.0657997611445403e-19
0.5858295563829593,1.6645054100081325e-07,2.663208656013013e-18,2.0306784485944596e-19
0.6022682174408366,1.6257913201116026e-07,2.601266112178565e-18,2.0069213255005701e-19
0.6191681552889192,1.616116100922227e-07,2.585785761475564e-18,2.0009420679562464e-19
0.6365423135773277,1.587079679593444e-07,2.539327487349511e-18,1.982882591794301e-19
0.6544039991612733,1.529013031395152e-07,2.4464208502322443e-18,1.9462686356746854e-19
0.6727668922927686,1.461269580759108e-07,2.3380313292145736e-18,1.9026630924713017e-19
0.6916450570983229,1.3935323699843138e-07,2.229651791974903e-18,1.8580432899285577e-19
0.7110529523506463,1.3451511599123478e-07,2.1522418558597575e-18,1.8255075480530503e-19
0.731005442542613,1.2774086103308945e-07,2.043853776529432e-18,1.778946876648325e-19
0.7515178092719659,1.2290294107515366e-07,1.9664470572024593e-18,1.7449403576099407e-19
0.7726057629454816,1.1903231916949153e-07,1.904517106711865e-18,1.7172451367133745e-19
0.794285454811559,1.1709715926554054e-07,1.8735545482486493e-18,1.7032312832488039e-19
0.8165734893304485,1.1225864116568119e-07,1.7961382586508997e-18,1.6676725888477203e-19
0.8394869368915964,1.0741980106104165e-07,1.7187168169766671e-18,1.6313344297812e-19
0.8630433468878436,1.0161328699905425e-07,1.6258125919848687e-18,1.586630458432003e-19
0.8872607611564929,9.967757610138505e-08,1.5948412176221614e-18,1.5714446584076283e-19
0.9121577277975398,9.871011704672128e-08,1.5793618727475411e-18,1.5638021765038442e-19
0.9377533153796473,9.580603602807969e-08,1.5328965764492756e-18,1.540619232290742e-19
0.9640671275447502,9.387034899555146e-08,1.501925583928824e-18,1.5249743412548284e-19
0.9911193180224693,9.193513402715325e-08,1.4709621444344525e-18,1.5091741866639353e-19
1.0189306060658387,8.709599310532212e-08,1.3935358896851543e-18,1.468915240143914e-19
1.047522292320167,8.516025706194341e-08,1.3625641129910951e-18,1.4524972031216774e-19
1.0769162751371848,8.419230103027076e-08,1.3470768164843327e-18,1.444217163732199e-19
1.1071350673469778,8.128898497670889e-08,1.3006237596273426e-18,1.4190966531339492e-19
1.1382018135005458,7.838856393937021e-08,1.2542170230299238e-18,1.393574704492276e-19
1.1701403075961991,7.548487791791558e-08,1.2077580466866497e-18,1.3675177039163327e-19
1.202975011303364,7.354970695450903e-08,1.1767953112721448e-18,1.3498768962257225e-19
1.236731072697755,7.161384215578437e-08,1.1458214744925505e-18,1.3319901714535121e-19
1.2714343455222716,6.774192024022341e-08,1.083870723843575e-18,1.2954737435215773e-19
1.3071114089883589,6.387078016996383e-08,1.0219324827194216e-18,1.2579119151378322e-19
1.3437895881330073,6.290286523289979e-08,1.006445843726397e-18,1.2483418911452548e-19
1.3814969747469776,5.999974813312292e-08,9.59995970129967e-19,1.2191982912006572e-19
